spectrumfile,SN,host_z,z,m15,spec_type,Mv_peak,instrument,obsdate,phase,un_p,filter,SNR,exptime(s),exptime_total,shift,width,comments,m
2017bzc_LDSS3_20170826.txt,2017bzc,Y,0.005365,---,Ia,---,LDSS3,8/26/2017,164,,,177,1*1200,,,,,
ASASSN-17fr_LDSS3_20170826.txt,ASASSN-17fr,Y,0.012465,---,Ia,-18.8,LDSS3,8/26/2017,108,,,12,,,,,,
J141551_LDSS3_20170826.txt,J141551,Y,0.013753,---,Ia,-17.4,LDSS3,8/26/2017,135,,,6,,,,,,
ASASSN-17cs_LDSS3_20170826.txt,ASASSN-17cs,Y,0.01616,---,Ia,-19.7,LDSS3,8/26/2017,174,,,44,3*1200,,,,,
2017dei_LDSS3_20170826.txt,2017dei,Y,0.019804,1.9,Ia,-18.3,LDSS3,8/26/2017,121,,,32,6*1200,,,,,21.2
2017gbb_Palomar_20170916.txt,2017gbb,Y,0.010422,---,Ia,-16.7,Palomar,9/16/2017,37,,,35,,,,,,
2017dzs_Palomar_20170916.txt,2017dzs,Y,0.017269,---,Ia,-19.3,Palomar,9/16/2017,144,1,,20,,,,,,
2017ekr_Palomar_20170916.txt,2017ekr,Y,0.019914,1.5,Ia,-18.8,Palomar,9/16/2017,97,,,33,,,,,,
2017fpt_Palomar_20170919.txt,2017fpt,Y,0.01966,---,Ia,---,Palomar,9/19/2017,125,1,,18,,,,,,
2017cjt_SOAR_20170920.txt,2017cjt,Y,0.009376,---,Ia,---,SOAR,9/20/2017,177,,,15,,,,,,
2017cyy_SOAR_20170920.txt,2017cyy,Y,0.009777,1.2,Ia,---,SOAR,9/20/2017,144,,,19,,,,,,
2017ezd_SOAR_20170920.txt,2017ezd,Y,0.018076,1.2,Ia,-18.6,SOAR,9/20/2017,75,,,12,,,,,,
2017cbv_WFCCD_20170922.txt,2017cbv,Y,0.00399,1,Ia,---,WFCCD,9/21/2017,179,,,27,,,,,,
2017bzc_WFCCD_20170922.txt,2017bzc,Y,0.005365,---,Ia,---,WFCCD,9/21/2017,190,,,37,,,,,,
ASASSN-17cs_VLT_20171011.txt,ASASSN-17cs,Y,0.01616,---,Ia,-19.7,VLT,10/11/2017,220,,,23,,,,,,
2017ezd_IMACS_20171013.txt,2017ezd,Y,0.018076,1.2,Ia,-18.6,IMACS,10/13/2017,98,,,19,,,,,,
2017gbb_IMACS_20171013.txt,2017gbb,Y,0.010422,---,Ia,-16.7,IMACS,10/13/2017,64,,,24,,,,,,
---,ASASSN-17ho,Y,0.017035,1.1,Ia,-18.6,IMACS,10/15/2017,115,,,---,,,,,,
ASASSN-17hb_VLT_20171017.txt,ASASSN-17hb,Y,0.019117,1.2,Ia,,VLT,10/17/2017,134,,,25,,,,,,
2017dei_VLT_20171017.txt,2017dei,Y,0.019804,1.9,Ia,,VLT,10/17/2017,170,,,13,,,,,,
2017drh_Shane_20171025.txt,2017drh,Y,0.005554,1.3,Ia,,Shane,10/25/2017,160,,,7,,,,,,
2017cjt_PalomarRed_20171030.txt,2017cjt,Y,0.009376,---,Ia,---,PalomarRed,10/30/2017,216,1,,22,,,,,,
2017drh_PalomarRed_20171030.txt,2017drh,Y,0.005554,1.5,Ia,,PalomarRed,10/30/2017,164,,,13,,,,,,
2017emq_PalomarRed_20171030.txt,2017emq,Y,0.005247,1.1,Ia,,PalomarRed,10/30/2017,139,,,14,,,,,,
2017fzy_PalomarRed_20171030.txt,2017fzy,Y,0.014453,1.5,Ia,,PalomarRed,10/30/2017,77,,,23,,,,,,
2017ghu_PalomarRed_20171030.txt,2017ghu,Y ,0.017522,---,Ia,,PalomarRed,10/30/2017,72,,,25,,,,,,
ASASSN-17hz_PalomarRed_20171030.txt,ASASSN-17hz,Y ,0.017159,1,Ia,,PalomarRed,10/30/2017,119,,,17,,,,,,
2017dzs_VLT_20171117.txt,2017dzs,Y,0.017269,---,Ia,,VLT,11/17/2017,200,1,,30,,,,,,
---,2017fzy,Y,0.014453,1.5,Ia,,LBT,11/20/2017,98,,,---,,,,,,
2017ezd_LDSS3_20171123.txt,2017ezd,Y,0.018076,1.2,Ia,,LDSS3,11/23/2017,139,,,21,3*1200,3600,,,,20.3
2017cyy_LDSS3_20171123.txt,2017cyy,Y,0.009777,1.2,Ia,,LDSS3,11/23/2017,208,,,16,3*1200,3600,,,,
2017fgc_LDSS3_20171123.txt,2017fgc,Y,0.007722,1,Ia,,LDSS3,11/23/2017,121,,,24,1*600,600,,,,17.8
2017fzw_LDSS3_20171123.txt,2017fzw,Y ,0.0054,1.7,Ia-91bg,,LDSS3,11/23/2017,91,,,23,1*600,600,,,,17.8
ASASSN-17ho_LDSS3_20171123.txt,ASASSN-17ho,Y,0.017035,1.1,Ia,,LDSS3,11/23/2017,154,,,17,1*1800,1800,,,,
ASASSN-17hb_LDSS3_20171123.txt,ASASSN-17hb,Y,0.019117,1.2,Ia,,LDSS3,11/23/2017,170,,,27,3*1500,4500,,,,m_r ~ 21.2
ASASSN-17ip_LDSS3_20171123.txt,ASASSN-17ip,Y,0.018422,1,Ia,,LDSS3,11/23/2017,135,,,22,2*1200,2400,,,,
2017ckq_LDSS3_20171123.txt,2017ckq,Y ,0.009893,1.1,Ia,,LDSS3,11/23/2017,227,,,21,2*1200,2400,,,,
2017ekr_GTC_20171209.txt ,2017ekr,Y,0.019914,1.5,Ia,-18.9,GTC,12/09/2017,180,,,10,2*1800,3600,,,,
2017cfd_GTC_20171210.txt,2017cfd,Y,0.012085,---,Ia,,GTC,12/10/2017,245,,,4,2*1800,3600,,,,
2017cyy_VLT_20171211.txt,2017cyy,Y,0.009777,1.2,Ia,,VLT,12/11/2017,226,,,23,,,,,,
---,2017fgc,Y,0.007722,1,Ia,,WFCCD,12/16/2017,142,,,---,3*900,,,,,
---,2017gup,N,0.016,1,Ia,,LBT,12/24/2017,85,,,---,4*600*2,,,,Seeing deteriorating toward the end of second science exposure from 0.7 arcsec to 1.7 arcsec up to 2.3 on the guider for 3rd exposure,
---,2017cjt,Y,0.009376,---,Ia,,LBT,12/24/2017,270,,,---,3*1200*2,,,,,
---,2017fzy,Y,0.014453,1.5,Ia,,LBT,12/24/2017,133,,,---,3*1200*2,,,,,
---,ASASSN-17hz,Y ,0.017159,1,Ia,,LBT,12/24/2017,175,,,---,3*1200*2,,,,,
2017ekr_GTC_20171227.txt,2017ekr,Y,0.019914,1.5,Ia,,GTC,12/27/2017,198,,,11,2*1800,,,,,
2017fzy_GTC_20171227.txt,2017fzy,Y,0.014453,1.5,Ia,,GTC,12/27/2017,136,,,17,2*1800,,,,,
ASASSN-17mz_Palomar_20171228.txt,ASASSN-17mz,Y,0.0161,1.1,Ia,,Palomar,12/28/2017,78,,,41,3*900,,,,,
2017hle_Palomar_20171228.txt,2017hle,Y,0.015701,2.0,Ia-91bg,,Palomar,12/28/2017,65,,,5,3*1200,,,,m_r = 20.4,
2017gjn_Palomar_20171228.txt,2017gjn,Y,0.015120,1.0,Ia,,Palomar,12/28/2017,110,,,25,3*600,,,,,
2017gup_Palomar_20171228.txt,2017gup,N,0.0235,1,Ia,,Palomar,12/28/2017,89,,,16,3*1500,,,,,
2017fzw_Palomar_20171228.txt,2017fzw,Y ,0.0054,1.7,Ia-91bg,,Palomar,12/28/2017,126,,,18,3*900,,,,m_r = 18.9,
2017fzy_Palomar_20171228.txt,2017fzy,Y,0.014453,1.5,Ia,,Palomar,12/28/2017,137,,,0,3*2000,,,,"m_r ~ 21.2; blind offset, target not in slit ",
ASASSN-17hz_Palomar_20171228.txt,ASASSN-17hz,Y ,0.017159,1,Ia,,Palomar,12/28/2017,179,,,5,1*1500,,,,,
---,ASASSN-17hb,Y,0.019117,1.2,Ia,,GTC,01/04/2018,212,,,---,2*1800,,,,,
2017ejb_LDSS3_20180108.txt,2017ejb,Y,0.009867,2,Ia-91bg,,LDSS3,01/08/2018,214,,,9,5*2000,,,,quicklook spectrum from 4 exposures,23.1
2017ffv_LDSS3_20180108.txt,2017ffv,Y,0.01401,1.3,Ia,,LDSS3,01/08/2018,167,,,13,1*1800,,,,,20.8
2017fgc_LDSS3_20180108.txt,2017fgc,Y,0.007722,1,Ia,,LDSS3,01/08/2018,167,,,25,1*900,,,,,18.9
2017fzw_LDSS3_20180108.txt,2017fzw,Y,0.0054,1.7,Ia-91bg,,LDSS3,01/08/2018,137,,,18,1*1200,,,,,19.2
2017gbb_LDSS3_20180108.txt,2017gbb,Y,0.010422,---,Ia,,LDSS3,01/08/2018,151,,,20,1*1200,,,,,
2017glq_LDSS3_20180108.txt,2017glq,Y,0.011755,1.3,Ia,,LDSS3,01/08/2018,109,,,28,1*900,900,,,,m_r ~ 18.4
2017hoq_LDSS3_20180108.txt,2017hoq,N,0.02,1.2,Ia,,LDSS3,01/08/2018,64,,,25,1*1000,1000,,,,m_r ~ 18.6
ASASSN-17ip_LDSS3_20180108.txt,ASASSN-17ip,Y,0.018042,1,Ia,,LDSS3,01/08/2018,183,,,20,3*1800,5400,,,,
2017fzy_VLT_20180120.txt,2017fzy,Y,0.014453,1.5,Ia,,VLT,01/20/2018,157,,,17,,,,,,
2017ckq_VLT_20180120.txt,2017ckq,Y,0.009893,1.1,Ia,,VLT,01/20/2018,285,,,12,,,,,,
2017hpa_Palomar_20180124.txt,2017hpa,Y,0.015654,1.2,Ia,,Palomar,01/24/2018,75,,,30,3*900,,,,m_r = 18.1,
2017fzw_Palomar_20180124.txt,2017fzw,Y,0.0054,1.7,Ia-91bg,,Palomar,01/24/2018,153,,,9,3*1200,,,,m_r = 19.5,
2017gxq_Palomar_20180124.txt,2017gxq,Y,0.008406,1.2,Ia,,Palomar,01/24/2018,110,,,20,3*900,,,,m_r = 18.2,
2017isq_Palomar_20180124.txt,2017isq,Y,0.009393,---,Ia,,Palomar,01/24/2018,78,,,15,1*1200,,,,m_r = 17,
2017erp_Palomar_20180124.txt,2017erp,Y,0.006174,1.3,Ia,,Palomar,01/24/2018,208,,,18,3*1700,,,,m_r =19.9,
---,2017fgc,Y,0.007722,1,Ia,,MDM,02/01/2018,190,,,---,,,,,,
---,2017dit,Y,0.01859,1.2,Ia,,GTC,02/21/2018,285,,,---,,,,,,
2017fzy_GTC_20180224.txt,2017fzy,Y,0.014453,1.5,Ia,,GTC,02/24/2018,195,,,0,,,,,,
---,ASASSN-17hz,Y ,0.017159,1,Ia,,VLT,02/15/2018,228,,,---,,,,,,
2017hpa_LDSS3_20180308.txt,2017hpa,Y,0.015654,1.2,Ia,,LDSS3,03/08/2018,117,,,23,1*1500,,,,,m_r = 19.4
2017hoq_LDSS3_20180308.txt,2017hoq,N,0.02,1.2,Ia,,LDSS3,03/08/2018,122,,,21,1*1800,,,,,m_r  =20.2
2017fzw_LDSS3_20180308.txt,2017fzw,Y,0.0054,1.7,Ia-91bg,,LDSS3,03/08/2018,195,,,17,3*900,,,,,m_r  = 20.6
2017gbb_LDSS3_20180308.txt,2017gbb,Y,0.010422,---,Ia,,LDSS3,03/08/2018,210,,,15,3*900,,,,,m_r  = 20.6
2017iyb_LDSS3_20180308.txt,2017iyb,Y,0.010108,1.5,Ia,,LDSS3,03/08/2018,68,,,25,1*600,,,,,m_r  = 17.72
ASASSN-17qg_LDSS3_20180308.txt,ASASSN-17qg,Y,0.01933,---,Ia,,LDSS3,03/08/2018,93,,,23,1*900,,,,,m_r = 18.8
2017ghs_LDSS3_20180308.txt,2017ghs,Y,0.018146,---,Ia,,LDSS3,03/08/2018,214,,,11,5*1500,,,,,m_r = 22.45
2017cbv_LDSS3_20180308.txt,2017cbv,Y,0.00399,1,Ia,,LDSS3,03/08/2018,346,,,24,3*1200,,,,,m_r = 20.5
---,2017jfw,Y,0.014413,---,Ia-91bg,,LDSS3,03/08/2018,120,,,---,,,,,,m_r = 21.14
---,2017isq,Y,0.009393,---,Ia,,MDM,03/07/2018,120,,,---,,,,,,
2017hjw_LBT_20180314.txt,2017hjw,Y,0.016161,1.1,Ia,,LBT,03/14/2018,135,,,33,,,,,,
ASASSN-17pg_LBT_20180314.txt,ASASSN-17pg,Y,0.005624,1.7,Ia,,LBT,03/14/2018,106,,,16,,,,,,
---,2017ejb,Y,0.009867,2,Ia-91bg,,VLT,03/19/2018,287,,,---,,,,,,
---,2017ezd,Y,0.018076,1.2,Ia,,VLT,03/19/2018,256,,,---,,,,,,
2017erp_LDSS3_20180408.txt,2017erp,Y,0.006174,1.3,Ia,,LDSS3,04/07/2018,281,,,18,,,,,,
2017isq_LDSS3_20180408.txt,2017isq,Y,0.009393,---,Ia,,LDSS3,04/07/2018,151,,,39,,,,,,
2017fzw_LDSS3_20180408.txt,2017fzw,Y,0.0054,1.7,Ia-91bg,,LDSS3,04/07/2018,226,,,18,,,,,,
2017gah_LDSS3_20180408.txt,2017gah,Y,0.008906,1.7,Ia,,LDSS3,04/07/2018,228,,,11,,,,,,
2017hoq_LDSS3_20180408.txt,2017hoq,N,0.02,1.2,Ia,,LDSS3,04/07/2018,153,,,45,,,,,,
2017iyb_LDSS3_20180408.txt,2017iyb,Y,0.010108,1.5,Ia,,LDSS3,04/07/2018,100,,,19,,,,,,
2017izu_LDSS3_20180408.txt,2017izu,Y,0.016915,---,Ia,,LDSS3,04/07/2018,98,,,22,,,,,,
2017jfw_LDSS3_20180408.txt,2017jfw,Y,0.014413,---,Ia-91bg,,LDSS3,04/07/2018,140,1,,11,,,,,,
ASASSN-18an_LDSS3_20180408.txt,ASASSN-18an,Y,0.017906,1.9,Ia,,LDSS3,04/07/2018,77,,,12,,,,,,
ASASSN-17qg_LDSS3_20180408.txt,ASASSN-17gq,Y,0.01933,---,Ia,,LDSS3,04/07/2018,124,,,33,,,,,,
2017fzw_VLT_20180410.txt,2017fzw,Y,0.0054,1.7,Ia-91bg,,VLT,04/10/2018,229,,,14,,,,,,
---,2017isq,Y,0.009393,---,Ia,,VLT,05/15/2018,190,,,---,,,,,,
ASASSN-18an_VLT_20180518.txt,ASASSN-18an,Y,0.017906,1.9,Ia,,VLT,05/18/2018,118,,,17,,,,,,
ASASSN-17pg_GTC_20180522.txt,ASASSN-17pg,Y,0.005624,1.7,Ia,,GTC,05/22/2018,175,,,18,,,,,,
ASASSN-18an_LDSS3_20180603.txt,ASASSN-18an,Y,0.017906,1.9,Ia,,LDSS3,06/03/2018,134,,,17,5*1200,,,,,
ASASSN-17qg_LDSS3_20180603.txt,ASASSN-17qg,Y,0.01933,---,Ia,,LDSS3,06/03/2018,181,,,10,3*1200,,,,,
2018xx_LDSS3_20180603.txt,2018xx,Y,0.009990,1.3,Ia,,LDSS3,06/03/2018,90,,,27,3*200,,,,,
2017izu_LDSS3_20180603.txt,2017izu,Y,0.016915,---,Ia,,LDSS3,06/03/2018,155,,,21,3*600,,,,,
ASASSN-18en_LDSS3_20180603.txt,ASASSN-18en,Y,0.013763,1.7,Ia,,LDSS3,06/03/2018,83,,,25,3*300,,,,,
2017cbv_LDSS3_20180603.txt,2017cbv,Y,0.00399,1,Ia,,LDSS3,06/03/2018,434,,,5,3*1500,,,,,
2017bzc_LDSS3_20180603.txt,2017bzc,Y,0.005365,---,Ia,,LDSS3,06/03/2018,445,,,3,4*1500,,,,,
2017gah_VLT_20180611.txt,2017gah,Y,0.008906,1.7,Ia,,VLT,06/11/2018,293,,,4,,,,,,
ASASSN-18an_VLT_20180613.txt,ASASSN-18an,Y,0.017906,1.9,Ia,,VLT,06/13/2018,144,,,16,,,,,,
---,2017gxq?,Y,0.008406,1.2,Ia,,LBT,06/?/2018,,,,---,,,,,,
---,ASASSN-17pg?,Y,0.005624,1.7,Ia,,LBT,06/?/2018,,,,---,,,,,,
2017fgc_LDSS3_20180621_partobs.txt,2017fgc,Y,0.007722,1,Ia,,LDSS3,06/21/2018,330,,,10,1700+2*1500,,,,,
2017gah_LDSS3_20180621.txt,2017gah,Y,0.008906,1.7,Ia,,LDSS3,06/21/2018,302,,,12,7*1800+1720,,,,,
2017izu_LDSS3_20180621.txt,2017izu,Y,0.016915,---,Ia,,LDSS3,06/21/2018,172,,,16,3*1200,,,,,
2018xx_LDSS3_20180621.txt,2018xx,Y,0.009990,1.3,Ia,,LDSS3,06/21/2018,107,,,40,3*150,,,,,
ASASSN-18en_LDSS3_20180621.txt,ASASSN-18en,Y,0.013763,1.7,Ia,,LDSS3,06/21/2018,100,,,28,3*900,,,,,
ASASSN-18en_LDSS3_20180804.txt,ASASSN-18en,Y,0.013763,1.7,Ia,,LDSS3,08/04/2018,145,,,16,4*,,,,,
---,ASASSN-18da,N,0.02,0.9,Ia,,LDSS3,08/04/2018,157,,,---,,,,,,
---,2018yu,Y,0.008112,1.2,Ia,,LDSS3,08/04/2018,140,,,---,,,,,,
2017fgc_VLT_20180808.txt,2017fgc,Y,0.007722,1,Ia,,VLT,08/09/2018,380,,,7,,,,,,
2017glq_VLT_20180817.txt,2017glq,Y,0.011755,1.3,Ia,,VLT,08/17/2018,330,,,10,,,,,,
ASASSN-18iu_Palomar_20180817.txt,ASASSN-18iu,Y,0.0223,1.3,Ia,,Palomar,08/17/2018,105,,,28,3*1200,,,,host galaxy observed simultaneously,
ASASSN-18nt_Palomar_20180817.txt,ASASSN-18nt,N,0.018,2,Ia-91bg,,Palomar,08/17/2018,54,,,15,3*900,,,,,
---,2017glq,Y,0.011755,1.3,Ia,,GTC,08/25/2018,338,,,---,,,,,,
2018big_Palomar_20180907.txt,2018big,Y,0.01815,1.2,Ia,,Palomar,09/07/2018,103,,,20,,,,,,
2018yu_Palomar_20180907.txt,2018yu,Y,0.008112,1.2,Ia,,Palomar,09/07/2018,174,,,31,3*900,,,,,
ASASSN-18iu_Palomar_20180907.txt,ASASSN-18iu,Y,0.0223,1.3,Ia,,Palomar,09/07/2018,125,,,28,3*1000,,,,,
ASASSN-18nt_Palomar_20180907.txt,ASASSN-18nt,N,0.018,2,Ia-91bg,,Palomar,09/07/2018,75,,,15,3*1200,,,,,
---,2017hpa,Y,0.015654,1.2,Ia,,VLT,09/07/2018,300,,,---,2*1300,,,,,
---,2017iyb,Y,0.010108,1.5,Ia,,VLT,09/10/2018,255,,,---,2*1300,,,,,
---,2017iyb,Y,0.010108,1.5,Ia,,VLT,09/20/2018,265,,,---,2*1300,,,,,
---,ASASSN-18da,N,0.02,0.9,Ia,,VLT,10/08/2018,222,,,---,2*1450,,,,,
---,2018gv,Y,0.005274,1,Ia,,LDSS3,10/12/2018,255,,,---,2*1800+1200,,,,Tom's run,
---,2017iyb,Y,0.010108,1.5,Ia,,VLT,11/03/2018,310,,,---,,,,,,
---,2018yu,Y,0.008112,1.2,Ia,,VLT,11/10/2018,237,,,---,2*1450,,,,,
ASASSN-18nt_Keck_20181202.txt,ASASSN-18nt,N,0.018,2,Ia-91bg,,Keck,12/02/2018,160,,,---,3*1200,,,,,
---,ASASSN-18nt,N,0.018,2,Ia-91bg,,VLT,12/04/2018,163,,,---,2*1450,,,,,
---,ASASSN-18nt,N,0.018,2,Ia-91bg,,VLT,12/06/2018,165,,,---,2*1450,,,,,
---,ASASSN-18hb,Y,0.012509,1.2,Ia,,VLT,12/08/2018,240,,,---,2*1450,,,,,
---,ASASSN-18od,Y,0.018229,1,Ia,,VLT,12/10/2018,150,,,---,2*1450,,,,,